Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-304.3778,828.3344,-4.06224,Glock,100,0,204.3396,-125.8783,0,False,False,False,5.976563,350.5078
SK.xelos4s ;E,Terrorist,-291.767,820.2133,-0.9095386,Glock,100,0,200.254,-132.2813,0,False,False,False,8.085938,350.5078
SK.xelos4s ;E,Terrorist,-278.6888,813.2739,2.360031,Glock,100,0,217.7933,-90.47812,0,False,False,False,10.54688,350.8594
SK.xelos4s ;E,Terrorist,-264.53,809.0379,5.899719,Glock,100,0,232.6242,-51.57394,0,False,False,False,12.30469,350.8594
SK.xelos4s ;E,Terrorist,-249.9742,805.4789,9.538662,Glock,100,0,230.2063,-67.86063,0,False,False,False,11.95313,351.5625
SK.xelos4s ;E,Terrorist,-235.7636,801.3377,13.09132,Glock,100,0,225.0427,-43.38022,0,False,False,False,358.5938,354.375
SK.xelos4s ;E,Terrorist,-221.6642,800.5977,16.61618,Glock,100,0,227.7133,7.685771,0,False,False,False,342.4219,354.375
SK.xelos4s ;E,Terrorist,-207.237,802.263,20.22297,Glock,100,0,232.822,40.3403,0,False,False,False,343.4766,354.7266
SK.xelos4s ;E,Terrorist,-192.6688,805.6622,23.86502,Glock,100,0,231.3817,63.73789,0,False,False,False,343.4766,354.7266
SK.xelos4s ;E,Terrorist,-178.3831,810.227,27.43645,Glock,100,0,226.4736,79.43373,0,False,False,False,343.4766,354.375
SK.xelos4s ;E,Terrorist,-164.367,815.5671,30.94048,Glock,100,0,222.7687,89.29781,0,False,False,False,342.4219,354.0234
SK.xelos4s ;E,Terrorist,-150.3842,820.8063,34.43616,Glock,100,0,227.8174,67.0771,0,False,False,False,341.7188,354.7266
SK.xelos4s ;E,Terrorist,-135.7771,823.5013,38.08794,Glock,100,0,237.8295,26.23157,0,False,False,False,341.7188,356.1328
SK.xelos4s ;E,Terrorist,-120.7967,824.0136,41.83305,Glock,100,0,239.9552,-4.636816,0,False,False,False,340.6641,356.8359
SK.xelos4s ;E,Terrorist,-105.8462,822.8672,45.57067,Glock,100,0,238.3694,-27.92856,0,False,False,False,339.9609,357.1875
SK.xelos4s ;E,Terrorist,-96.5797,821.3186,47.88729,Glock,79,0,149.258,-31.64152,0,False,False,False,337.5,357.8906
SK.xelos4s ;E,Terrorist,-86.92207,820.5103,50.3017,Glock,79,0,157.5717,1.026577,0,False,False,False,333.6328,357.1875
SK.xelos4s ;E,Terrorist,-76.93925,821.3503,52.79741,Glock,79,0,161.132,21.61314,0,False,False,False,333.6328,356.8359
SK.xelos4s ;E,Terrorist,-66.87677,821.2943,55.31303,Glock,79,0,155.2186,-30.96719,0,False,False,False,335.3906,356.8359
SK.xelos4s ;E,Terrorist,-56.62259,816.3622,57.87657,Glock,79,0,139.2503,-98.0369,0,False,False,False,336.0938,357.1875
SK.xelos4s ;E,Terrorist,-49.63696,809.9159,59.62298,Glock,79,0,110.475,-131.648,0,False,False,False,337.8516,357.5391
SK.xelos4s ;E,Terrorist,-43.80101,802.9614,61.08197,Glock,79,0,81.37106,-96.96618,0,False,False,False,338.9063,357.5391
SK.xelos4s ;E,Terrorist,-39.50251,797.8391,62.15659,Glock,79,0,59.93436,-71.42104,0,False,False,False,339.6094,357.5391
SK.xelos4s ;E,Terrorist,-36.33743,794.0674,62.94786,Glock,79,0,44.03605,-52.47576,0,False,False,False,339.2578,357.8906
