Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,1818.108,1609.82,160.0313,Knife,100,0,-63.56448,-241.7841,0,False,False,False,267.1875,359.6484
PnX | CSGOmall.com,CounterTerrorist,1815.115,1596.482,160.0313,Knife,100,0,-48.13334,-245.3226,0,False,False,False,270.3516,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1812.669,1581.052,160.0313,Knife,100,0,-32.87326,-247.8293,0,False,False,False,270.7031,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1811.196,1563.653,160.0313,Knife,100,0,0.8905793,-243.8781,0,False,False,False,270.7031,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1812.771,1550.599,160.0313,Knife,100,0,42.08302,-237.6693,0,False,False,False,270.7031,0.3515625
PnX | CSGOmall.com,CounterTerrorist,1815.028,1535.281,160.0313,Knife,100,0,31.73289,-247.9779,0,False,False,False,271.4063,2.8125
PnX | CSGOmall.com,CounterTerrorist,1817.026,1517.817,171.0955,Knife,100,0,27.80156,-248.4493,267.6184,False,False,False,271.4063,4.570313
PnX | CSGOmall.com,CounterTerrorist,1818.763,1502.289,186.2592,Knife,100,0,27.80156,-248.4493,217.6184,False,False,False,269.2969,355.7813
PnX | CSGOmall.com,CounterTerrorist,1820.283,1488.702,196.9639,Knife,100,0,27.80156,-248.4493,173.8684,False,False,False,266.1328,344.5313
PnX | CSGOmall.com,CounterTerrorist,1822.021,1473.173,206.2682,Knife,100,0,27.80156,-248.4493,123.8684,False,False,False,258.3984,329.7656
PnX | CSGOmall.com,CounterTerrorist,1823.758,1457.645,212.4476,Knife,100,0,27.80156,-248.4493,73.86838,False,False,False,246.4453,319.5703
PnX | CSGOmall.com,CounterTerrorist,1825.713,1440.176,215.664,Knife,100,0,27.80156,-248.4493,17.61838,False,False,False,224.6484,316.0547
PnX | CSGOmall.com,CounterTerrorist,1827.233,1426.588,215.4312,Knife,100,0,27.80156,-248.4493,-26.13162,False,False,False,203.9063,318.8672
PnX | CSGOmall.com,CounterTerrorist,1828.97,1411.06,212.2355,Knife,100,0,27.80156,-248.4493,-76.13162,False,False,False,178.9453,326.25
PnX | CSGOmall.com,CounterTerrorist,1830.707,1395.532,205.9149,Knife,100,0,27.80156,-248.4493,-126.1316,False,False,False,152.5781,336.0938
PnX | CSGOmall.com,CounterTerrorist,1832.662,1378.062,195.0687,Knife,100,0,27.80156,-248.4493,-182.3816,False,False,False,128.6719,347.3438
PnX | CSGOmall.com,CounterTerrorist,1834.399,1362.534,182.1074,Knife,100,0,27.80156,-248.4493,-232.3816,False,False,False,123.75,357.8906
PnX | CSGOmall.com,CounterTerrorist,1835.184,1348.914,168.2028,Knife,100,0,-7.525349,-250.2093,-276.1316,False,False,False,143.4375,7.382813
PnX | CSGOmall.com,CounterTerrorist,1833.555,1334.465,160.0313,Knife,100,0,-46.54306,-185.8342,0,False,False,False,187.7344,14.41406
PnX | CSGOmall.com,CounterTerrorist,1830.103,1322.284,160.0313,Knife,100,0,-55.45783,-202.5955,0,False,False,False,217.9688,11.60156
PnX | CSGOmall.com,CounterTerrorist,1827.465,1310.619,160.0313,Knife,100,0,-41.91597,-221.4238,0,False,False,False,227.8125,6.679688
